    °„C	        No	    CH0	            CH1	            CH2	            CH3
22.386	199	0.1145904132	2264.2045774582	0.4891212278	-0.2203244102
22.391	200	0.1145923206	2263.1381310903	0.4890935713	-0.2205162180
22.398	201	0.1145953008	2262.0316303987	0.4890677028	-0.2206937206
22.413	202	0.1146013805	2260.9163678239	0.4890392118	-0.2208885086
22.423	203	0.1146053144	2259.8067378883	0.4890127473	-0.2210751904
22.442	204	0.1146133014	2258.6971079527	0.4889846140	-0.2212374342
22.453	205	0.1146175930	2257.5805936802	0.4889588647	-0.2214135064
22.467	206	0.1146233150	2256.4678345005	0.4889319234	-0.2215955389
22.473	207	0.1146258184	2255.3463134376	0.4889066511	-0.2217754258
22.485	208	0.1146305868	2254.2329284092	0.4888774448	-0.2219462527
22.490	209	0.1146327325	2253.1107814974	0.4888496690	-0.2221295966
22.492	210	0.1146338054	2251.9836277952	0.4888217741	-0.2223063840
22.511	211	0.1146415540	2250.8533448490	0.4887923294	-0.2224829330
22.523	212	0.1146463224	2249.7186809611	0.4887663417	-0.2226613893
22.534	213	0.1146507332	2248.5858946196	0.4887360626	-0.2228369846
22.544	214	0.1146549055	2247.4462239412	0.4887113862	-0.2230104341
22.560	215	0.1146613428	2246.3053015652	0.4886813455	-0.2231854333
22.574	216	0.1146670648	2245.1612499452	0.4886532121	-0.2233615055
22.583	217	0.1146709987	2244.0121915348	0.4886248403	-0.2235347166
22.600	218	0.1146779129	2242.8593780315	0.4885959916	-0.2237020864
22.607	219	0.1146806547	2241.7084420746	0.4885666662	-0.2238677874
22.617	220	0.1146845886	2240.5518734784	0.4885380559	-0.2240529194
22.628	221	0.1146892378	2239.3902980918	0.4885090881	-0.2242211237
22.641	222	0.1146946022	2238.2306002516	0.4884800010	-0.2243871823
22.657	223	0.1147010395	2237.0646439233	0.4884519868	-0.2245611086
22.664	224	0.1147039005	2235.8968100486	0.4884224229	-0.2247295514
22.684	225	0.1147121259	2234.7327312668	0.4883934551	-0.2248772517
